"date","setting","series","note","info","source"
"2265","secondary","TOS","The text states that this is near the end of the five-year mission, which is inconsistent with all other references to Joanna's age.","McCoy's daughter Joanna turns eighteen.","The Better Man - TOS 72 p 62-63"
"2265","primary","TOS",NA,"Diplomatic relations established with the alien Balok of the First Federation.","The Corbomite Maneuver - Star Trek 12"
"2265","primary","TOS",NA,"The Enterprise responds to a distress call issued by career criminal Harry Mudd.","Mudd's Women - Mudd's Angels"
"2265","primary","TOS",NA,"A transporter accident splits Kirk into two entities.","The Enemy Within - Star Trek 8"
"2265","primary","TOS",NA,"On planet M-113, a creature capable of psychic disguise makes its way onto the Enterprise and attacks the crew for their body salts.","The Unreal McCoy - Star Trek 1"
"2265","primary","TOS",NA,"A virus contracted on Psi 2000 spreads throughout the crew, causing wildly erratic behavior. A cold start of the warp engines throws the ship back in time three days.","The Naked Time - Star Trek 1"
"2265","primary","TOS",NA,"The Enterprise crew travels to Tlaoli 4 to retrieve a survey team, and discovers an ancient time portal. Kirk is inadvertently exchanged with his own self from the past, while Sulu is swapped with his future self.","The Janus Gate Book 1: Present Tense - TOS"
"2265","primary","TOS",NA,"Book","The Janus Gate Book 2: Future Imperfect - TOS"
"2265","primary","TOS",NA,"Book","The Janus Gate Book 3: Past Prologue - TOS"
"2265","primary","TOS",NA,"Thanksgiving day. The human Charles Evans, having been raised by Thasians, exhibits extraordinary telekinetic powers and is returned to Thasius to preserve the crew's safety.","Charlie's Law - Star Trek 1"
"2265","primary","TOS",NA,"Book","Elegy For Charlie - The New Voyages 2"
"2265","secondary","TOS",NA,"The Enterprise and the Constellation are sent to Alpha Proxima 2 to investigate a plague caused by a Malkus Artifact.","The Brave And The Bold Book 1: The First Artifact"
"2265","primary","TLE",NA,"The Enterprise is attacked by a cloaked Romulan ship. The first visual contact with a Romulan crew reveals their close relationship to Vulcans.","Balance Of Terror - Star Trek 1; TLE: The Sundered p 208-213"
"2265","primary","TOS",NA,"Commander Spock and Lt. Sulu escort Prince Vikram of Angira back to his homeworld.","Shadow Lord - TOS 22"
"2265","primary","TOS",NA,"Book","Errand Of Vengeance Book 1: The Edge Of The Sword - TOS"
"2265","primary","TOS",NA,"Dr. Roger Corby is discovered on Exo 3. Nurse Christine Chapel is permanently assigned to the Enterprise.","What Are Little Girls Made Of? - Star Trek 11"
"2265","primary","TOS",NA,"Book","Errand Of Vengeance Book 2: Killing Blow - TOS"
"2265","primary","TOS",NA,"Book","Errand Of Vengeance Book 3: River Of Blood - TOS"
"2265","primary","TOS",NA,"Dr. Tristan Adams is killed by his own 'neural neutralizer' at the Tantalus 5 penal colony.","Dagger Of The Mind - Star Trek 1"
"2265","primary","TOS",NA,"On a planet that has evolved parallel to Earth, an entire population of pre-pubescent children is discovered.","Miri - Star Trek 1"
"2265","primary","TOS",NA,"By this time, all survivors of the Tarsus 4 massacre have been mysteriously killed except Kirk and Lt. Riley, both now aboard the Enterprise. Kodos the Executioner, now going by the name Karidian, is brought aboard with his daughter, Lenore.","The Conscience Of The King - Star Trek 1"
"2265","primary","SNW",NA,"Yeoman Vonda Figgs is nearly eaten by a carnivorous plant during her first away mission.","Yeoman Figgs - SNW 5"
"2265","primary","CT",NA,"Framing story, shortly before Pike's accident.","Where Sea Meets Sky - CT 6"
"2265","primary","SNW",NA,"Fleet Captain Pike saves the lives of seven cadets aboard a training vessel, but is exposed to massive amounts of radiation. He soon loses all motor control and is confined to a mobile life-support carriage on Starbase 11.","A Private Anecdote - SNW 1"
"2266","primary","TOS",NA,"Commanded by Spock, the Galileo 7 shuttlecraft is stranded on Taurus 2.","The Galileo Seven - Star Trek 10"
"2266","primary","TOS",NA,"Kirk is forced to jetisson an observation pod occupied by Benjamin Finney. The investigation reveals negligence by Kirk, but he is absolved of wrongdoing when it is revealed that Finney is alive and has doctored the record tapes.","Court Martial - Star Trek 2"
"2266","primary","TOS",NA,"The Enterprise unwittingly spreads a computer virus to five planetary systems. A 'virtual' alien civilization is discovered in orbit around Tyrtaeus. Rand is still aboard.","Heart Of The Sun - TOS 83"
"2266","inferred","TOS",NA,"Yeoman Rand becomes pregnant and takes a leave from Starfleet.","The Captain's Daughter - TOS 76"
"2266","inferred",NA,NA,"Ensign Ingrit Tomson signs aboard.","The Lost Years"
"2266","primary","TOS",NA,"Kirk investigates the murder of a Draqqi diplomat.","Avenger - Enterprise Logs"
"2266","inferred","TOS","According to Spock in the television episode The Menagerie Part 1, this is thirteen years after the incident on Talos 4. In Journey To Babel, it has been eighteen years since Spock left home for Starfleet. Subtract the one year between the episodes, and we have only four years for young Spock to have received all his academy training, promotion to full lieutenant, and assignment as Second Officer aboard the Enterprise. This is incredible, even for a Vulcan; plus, it contradicts Spock's service record given in Dorothy Fontana's Vulcan's Glory. Fortunately, since the 'thirteen years' figure never appears anywhere in print, we can ignore it in good conscience.","Spock is promoted to full commander. Pike is kidnapped by Spock, who diverts the Enterprise to Talos 4 without authorization. Spock's court martial is dismissed when Pike chooses to remain with the Talosians, who provide him the illusion of good health.",NA
"2266","primary","TOS",NA,"The crew takes shore leave on Omicron Delta 4, a planetary 'amusement park'.","Shore Leave - Star Trek 12"
"2266","primary","TOS",NA,"On a mission to Colony Beta 6, the Enterprise is captured by the powerful but immature super-being Trelane.","The Squire Of Gothos - Star Trek 11"
"2266","time travel","TNG",NA,"Jean-Luc Picard arrives on Cestus 3 two days before the events of Arena.","Requiem - TNG 32"
"2266","primary","TOS",NA,"The Gorn destroy a Federation base, claiming that it falls within their claimed territory. When Kirk pursues the Gorn craft, both are captured by the Metrons, who abhor violence.","Arena - Star Trek 2"
"2266","primary","TOS",NA,"The stability of the space-time continuum is threatened by an entity called Lazarus and his antimatter counterpart from a parallel universe.","The Alternative Factor - Star Trek 10"
"2266","primary","TOS",NA,"The Enterprise is thrown back in time to 1969 following a near collision with a black hole.","Tomorrow Is Yesterday - Star Trek 2"
"2266","primary","TOS","Footnotes referring to The Enterprise Incident and The Gamesters Of Triskelion are incongruent with the stated time frame of the story, which immediately follows Tomorrow Is Yesterday.","A plague destroys a third of the Romulan population.","Web Of The Romulans - TOS 10"
"2266","primary","TOS",NA,"The Enterprise investigates the loss of the USS Archon near Beta 3 almost 100 years earlier.","Return Of The Archons - Star Trek 9"
"2266","secondary","SCE",NA,"Backstory","Foundations Book 2 - SCE 5"
"2266","primary","TOS",NA,"The Enterprise is declared a 'casualty' in a virtual war between Eminiar 7 and Vendikar.","A Taste Of Armageddon - Star Trek 2"
"2266","primary","TOS",NA,"Khan Noonian Singh and the surviving crew of the Botany Bay are discovered and revived by the Enterprise. After an unsuccessful attempt to commandeer the ship, he and his crew are left on Ceti Alpha 5 to begin a new colony.","Space Seed - Star Trek 2"
"2266","primary","TOS",NA,"The crew is infected by euphoria-inducing spores on Omicron Ceti 3.","This Side Of Paradise - Star Trek 5"
"2266","primary","TOS",NA,"The silicon-based Horta are discovered on Janus 4.","The Devil In The Dark - Star Trek 4"
"2266","inferred",NA,NA,"Klingon battlecruisers destroy a Federation hospital ship, killing the wife of Captain Androvar Drake.","The Ashes Of Eden"
"2266","primary","TOS",NA,"The Organians impose a peace treaty between the Federation and Klingon Empire.","Errand Of Mercy - Star Trek 2"
"2266","primary","TOS",NA,"The Guardian Of Forever is discovered on the Gateway planet. McCoy travels to Earth's past while under the effects of an accidental cordrazine overdose.","The City On The Edge Of Forever - Star Trek 2"
"2266","primary","SNW",NA,"Story","Triptych - SNW 2"
"2266","primary","SNW",NA,"Kirk and McCoy drink Saurian brandy as they lament the death of Edith Keeler.","Marking Time - SNW 6"
"2266","primary","TOS",NA,"The Enterprise returns to Earth for shore leave. Kirk contemplates resigning from Starfleet.","Final Frontier"
"2266","alternate","TOS",NA,"Kirk resigns from Starfleet and returns to Iowa.","Reflections - SNW 1"
"2266","primary","TOS",NA,"Kirk's brother George is killed on Deneva by large flying parasites.","Operation: Annihilate! - Star Trek 2"
"2266","primary","TOS",NA,"Story","The Winged Dreamers - The New Voyages"
"2266","primary","SNW",NA,"The Enterprise is caught in the gravity well of a black hole while in warp. Chekov saves the ship by plotting a spiral escape course.","Indomitable - SNW 7"
"2266","primary","TOS","A reference to an upcoming landing party mission on Gamma 2 invites the possibility that this novel should be immediately before The Gamesters Of Triskelion. However, this seems inconsistent with the untested relationship of Chekov to the rest of the bridge crew.","Chekov is assigned to the bridge crew. Uhura temporarily transfers to the USS Lexington. Rithrim mercenaries raid several planets in the Xaridian system.","The Disinherited - TOS 59"
"2266","primary","TOS",NA,"The Enterprise senior staff is kidnapped on Pyris 7.","Catspaw - Star Trek 8"
"2266","primary","TOS",NA,"Zephram Cochrane is discovered living on Gamma Canaris N, his youth having been preserved by an entity called the Companion.","Metamorphosis - Star Trek 7"
"2266","primary","TOS",NA,"McCoy returns to Capella 4, where Kirk works to prevent the Capellans from forming an alliance with the Klingons.","Friday's Child - Star Trek 3"
"2266","primary","TOS",NA,"A race known as the Furies arrive with an invasion force from the far side of the galaxy to reclaim Federation and Klingon territory, including Earth, which they claim was once a homeworld.","Invasion! 1: First Strike - TOS 79"
"2266","primary","TOS",NA,"A being claiming to be the god Apollo is discovered on Pollux 4.","Who Mourns For Adonais? - Star Trek 7"
"2267","primary","TOS",NA,"Spock begins to undergo the Pon Farr and is transported to Vulcan for the koon-ut-kal-if-fee mating ceremony.","Amok Time - Star Trek 3"
"2267","primary","TOS",NA,"Story","Sonnet From The Vulcan: Omicron Ceti Three - The New Voyages"
"2267","primary","TOS",NA,"Story","Soliloquy - The New Voyages 2"
"2267","primary","TOS",NA,"Book","Gemini - TOS"
"2267","primary","TOS",NA,"Commodore Matthew Decker, the sole survivor of an attack by an enormous planet-eating weapon, is recovered from the USS Constellation. Following Decker's death, Kirk pilots his ship into the device to destroy it.","The Doomsday Machine - Star Trek 3"
"2267","secondary","TOS",NA,"Kirk records a log entry concerning Matt Decker's death.","The Brave And The Bold Book 1: First Interlude"
"2267","primary","TOS",NA,"On Argelius 2, Scotty is suspected in a series of murders of women.","Wolf In The Fold - Star Trek 8"
"2267","primary","TOS",NA,"The probe Nomad is discovered, having been altered by alien technology to destroy imperfect life forms.","The Changeling - Star Trek 7"
"2267","primary","TOS",NA,"The inhabitants of Gamma Trianguli 6 are found to be under the protection of an alien construction called Vaal.","The Apple - Star Trek 6"
"2267","primary","TOS",NA,"A transporter malfunction swaps Kirk, McCoy, Scotty and Uhura with their evil counterparts in a parallel universe.","Mirror, Mirror - Star Trek 3"
"2267","primary","TOS",NA,"The Enterprise landing party suffers rapid aging after exposure to radiation on Gamma Hydra 4. Kirk is 34 years old.","The Deadly Years - Star Trek 7"
"2267","primary","TOS",NA,"The Enterprise is hijacked to a planet where Harry Mudd has created a race of androids.","I, Mudd - Mudd's Angels"
"2267","primary",NA,"The story is purported to occur in December, an unfortunate reflection of the Okuda timeline.","The Enterprise transports Samuel T. Cogley to Aneher 2, a colony world jointly developed by the Federation and the Klingon Empire, where Mak'tor, the Klingon commander, stands accused of murdering Daniel Latham, the Federation Administrator.","The Case Of The Colonist's Corpse"
"2267","primary","TOS",NA,"Deep Space Station K-7, while holding a shipment of grain destined for Sherman's planet, becomes infested with tribbles brought by Cyrano Jones. The death of the tribbles warns of the grain having been poisoned by Arne Darvin.","The Trouble With Tribbles - Star Trek 3"
"2267","primary","SNW",NA,"The tribbles aboard K-7 contemplate the intellect of humanoids.","The Trouble With Tribals - SNW 7"
"2267","time travel","TOS",NA,"Captain Sisko prevents Arne Darvin from planting an explosive tribble on Deep Space K-7 to kill Captain Kirk.","Trials And Tribble-ations"
"2267","secondary","TOS",NA,"Koloth and the crew of the IKS Gr'oth cope with a ship full of tribbles.","In The Name Of Honor - TOS 97 Ch 5"
"2267","primary","SNW",NA,"The Enterprise crew members make the difficult decision not to retain any tribbles as pets.","Missed - SNW 4"
"2267","primary","TOS",NA,"Captain R.M. Merik, formerly commanding the S.S. Beagle, is found on planet 892 4 in a society paralleling Earth's ancient Rome.","Bread And Circuses - Star Trek 11"
"2267","primary","TOS",NA,"Ambassador Sarek, age 102, is transported by the Enterprise to an interplanetary conference.","Journey To Babel - Star Trek 4"
"2267","primary","TOS",NA,"Story","Cave-In - The New Voyages 2"
"2267","secondary","TOS",NA,"The Enterprise encounters the Enterprise-D in a time rift at black hole TNC65813.","Federation"
"2267","inferred","TOS",NA,"Ceti Alpha 6 explodes, shifting the orbit of Ceti Alpha 5 and destroying nearly all life on the planet.","Star Trek 2: The Wrath Of Khan"
"2267","primary","SNW",NA,"Kirk returns to his childhood home in Iowa, which was recently gutted by fire. Though severely burned, his mother is expected to survive.","First Star I See Tonight - SNW 4"
"2267","primary","TOS",NA,"The Enterprise attempts to increase the rotational speed of the planet Rimillia.","Twilight's End - TOS 77"
"2267","primary","TOS",NA,"The crew of the damaged sublight vessel Stephen Hawking is recovered, having left Earth nearly 200 years earlier but experiencing only thirty years of relativistic time.","Across The Universe - TOS 88"
"2267","primary","TOS",NA,"A number of people are murdered at the Vulcan Academy of Science. The Enterprise spends a month in orbit to investigate.","The Vulcan Academy Murders - TOS 20"
"2267","primary","TOS",NA,"A plague strikes the Vulcan colony Nisus. Dr. Geoffrey M'Benga signs aboard the Enterprise.","The IDIC Epidemic - TOS 38"
"2267","primary","TOS",NA,"The Klingons are discovered to be supplying firearms to a primitive culture on the planet Neural.","A Private Little War - Star Trek 10"
"2267","primary",NA,NA,"Story","Ni Var - The New Voyages"
"2267","primary","TOS",NA,"While making a routine stop at Gamma 2, the Enterprise landing party is transported to Triskelion to be enslaved as gladiators.","The Gamesters Of Triskelion - Star Trek 12"
"2267","primary","TOS",NA,"The vampire cloud creature is discovered on Argus 10, and later makes its way aboard the Enterprise.","Obsession - Star Trek 9"
"2267","primary","TOS",NA,"A diplomatic mission to the Patrian Republics uncovers a conspiracy in the planet's Mindcrime Unit.","The Patrian Transgression - TOS 69"
"2267","primary","TOS",NA,"A giant one-celled organism destroys the Gamma 7A system and the USS Intrepid.","The Immunity Syndrome - Star Trek 9"
"2267","primary",NA,NA,"Story","The Enchanted Pool - The New Voyages"
"2267","primary",NA,NA,"Story","Marginal Existence - The New Voyages 2"
"2267","primary","SNW",NA,"A lifepod filled with tribbles from the IKS Gr'oth is assimilated by the Borg.","The Trouble With Borg Tribbles - SNW 5"
"2267","primary","TOS",NA,"The planet Iotia is found to have modeled their culture upon the book Chicago Mobs Of The Twenties, left by the USS Horizon over 100 years earlier.","A Piece Of The Action - Star Trek 4"
"2267","primary","TOS",NA,"Explorers from the Kelvan Empire capture the Enterprise for return transport to the Andromeda galaxy.","By Any Other Name - Star Trek 6"
"2267","primary","TOS",NA,"The crew of the Vulcan science ship T'Pau is found dead, and the secrets of Alnath 2 are discovered. The Enterprise returns to Delta Canaris 4 to complete a mapping mission.","The Klingon Gambit - TOS 3"
"2267","primary","TOS",NA,"Upon completion of the mission at Delta Canaris, the Enterprise transports a diplomatic team to Ammdon and Jurnamoria.","Mutiny On The Enterprise - TOS 12"
"2267","primary","TOS",NA,"The last three survivors of the planet Arret are found to have evolved into a disembodied state.","Return To Tomorrow - Star Trek 9"
"2267","primary","TOS",NA,"Federation cultural observer John Gill is found to have unwittingly created a fascist Nazi government on Ekos.","Patterns Of Force - Star Trek 12"
"2267","primary","TOS",NA,"Lt. Uhura's study of the native songs of Eeiauo lead to the discovery of a cure for ADF syndrome.","Uhura's Song - TOS 21"
"2267","primary","TOS",NA,"Dr. Richard Daystrom's M-5 command computer is field tested on the Enterprise.","The Ultimate Computer - Star Trek 9"
"2267","primary","TOS",NA,"On Omega 4, where the atmosphere has powerful healing properties, Captain Ronald Tracey is found to have violated the Prime Directive.","The Omega Glory - Star Trek 10"
"2267","primary","TOS",NA,"A transporter malfunction swaps Kirk, Spock and McCoy with their actor counterparts in a universe where they exist only as fictional creations.","Visit To A Weird Planet Revisited - The New Voyages"
"2267","primary","TOS",NA,"The Enterprise returns to 20th century Earth and intercepts Gary Seven.","Assignment: Earth - Star Trek 3"
"2267","primary","TOS",NA,"Kirk's body becomes possessed by Yarblis Geshkerroth.","Ghost Walker - TOS 53"
"2267","secondary","TOS",NA,"The Klingon 'Day Of Honor' is established to commemorate a treaty with the Narr.","Day Of Honor: Treaty's Law - TOS"
"2267","primary","TOS",NA,"In a cooperative effort with the Klingons, the survivors of the Kanst Energy Experiment are rescued from the Tautee system.","The Rings Of Tautee - TOS 78"
"2267","primary","TOS",NA,"Diplomatic relations are established with the Melkotians.","Spectre Of The Gun - Star Trek 3"
"2267","primary","TOS",NA,"The Enterprise transports Elaan of Elas to Troyius for a diplomatic wedding.","Elaan Of Troyius - Star Trek 3"
"2267","primary","TOS",NA,"Kirk suffers amnesia on a planet seeded and protected by the Preservers, and is stranded for months.","The Paradise Syndrome - Star Trek 7"
"2268","primary","TOS",NA,"The USS Hood beams aboard an android duplicate of Dr. Aaron Brown from Exo 3.","Double, Double - TOS 45"
"2268","primary","TOS",NA,"Kirk infiltrates a Romulan flagship and steals the cloaking device.","The Enterprise Incident - Star Trek 4"
"2268","primary","TOS",NA,"The evil entity Gorgon causes mass suicide among the adults on Triacus.","And The Children Shall Lead - Star Trek 12"
"2268","primary","TOS","McCoy's age (48) is problematic. The stardate was used as a reference instead.","While responding to a distress call from the merchant ship Selessan, Dr. McCoy is attacked by an unknown species and suffers severe amnesia.","Dreams Of The Raven - TOS 34"
"2268","primary","TOS",NA,"Spock's brain is stolen by the Eymorgs.","Spock's Brain - Star Trek 8"
"2268","primary","TOS",NA,"The Enterprise and the Klingon ship Fire Blossom send diplomatic envoys to the planet Direidi.","How Much For Just The Planet? - TOS 36"
"2268","primary","TOS",NA,"Telepath Miranda Jones aids in communication with Kolos, a non-corporeal Medusan.","Is There In Truth No Beauty? - Star Trek 10"
"2268","primary","TOS",NA,"Kirk and McCoy are captured and brutally tortured. Their pain is absorbed by a mute empath, Gem.","The Empath - Star Trek 10"
"2268","primary","TOS",NA,"While Kirk is stranded on Alpha Octavius 4, Spock takes command of the Enterprise and battles Hamesaad Dreen in the Beta Cabrini system.","Legacy - TOS 56"
"2268","primary","TOS",NA,"Aboard the disabled USS Defiant, Kirk vanishes into a parallel dimension. During his absence, the Enterprise is attacked by the Tholians.","The Tholian Web - Star Trek 5"
"2268","primary","TOS",NA,"A landing party on Careta 4 is transformed into arachnids by an ancient Kh!lict transporter.","Windows On A Lost World - TOS 65"
"2268","primary","TOS",NA,"Story","The Patient Parasites - The New Voyages 2"
"2268","primary","TOS",NA,"Story","Snake Pit! - The New Voyages 2"
"2268","primary","TOS",NA,"Book","Section 31: Cloak - TOS"
"2268","primary","TOS",NA,"A small community known as the Yonada are discovered inside an asteroid that is on a collision course with Darin 5. An oracle left by the Fabrini cures McCoy of xeno-polycythemia.","For The World Is Hollow And I Have Touched The Sky - Star Trek 8"
"2268","primary","TOS",NA,"Story","Day Of The Dove - Star Trek 11"
"2268","primary","TOS",NA,"Story","The Badlands Book 1 Part 1"
"2268","primary","TOS",NA,"The Enterprise answers a distress call from the Platonians, who have based their culture upon Earth's ancient Greece.","Plato's Stepchildren - Star Trek 11"
"2268","primary","TOS",NA,"Story","Wink Of An Eye - Star Trek 11"
"2268","primary",NA,NA,"Story","The Hunting - The New Voyages"
"2268","primary","TOS",NA,"Story","That Which Survives - Star Trek 9"
"2268","primary","TOS",NA,"Story","Gateways 1: One Small Step - TOS"
"2268","primary","TOS",NA,"Story","One Giant Leap - Gateways: What Lay Beyond - TOS"
"2268","primary","TOS","Spock asks Mudd how he managed to escape from the android planet. This creates a continuity error with the later episode, Mudd's Passion, when Kirk asks basically the same question.","Harry Mudd negotiates peace between the planets of Prastor and Distrel.","Mudd In Your Eye - TOS 81"
"2268","primary","TOS",NA,"Story","Let That Be Your Last Battlefield - Star Trek 5"
"2268","primary","TOS",NA,"Centaurus, the homeworld of 21 year-old Joanna McCoy, is bombed by terrorists. Uhura is left in command while the Enterprise landing party investigates. McCoy stays on the planet while the Enterprise is refit at Starbase 7.","Crisis On Centaurus - TOS 28"
"2268","primary","TOS",NA,"Story","Whom Gods Destroy - Star Trek 5"
"2268","primary","TOS",NA,"Story","The Mark Of Gideon - Star Trek 6"
"2268","primary","TOS",NA,"While on Memory Alpha, Scotty's girlfriend Mira Romain is possessed by a colony of energy-based lifeforms.","The Lights Of Zetar - Star Trek 6"
"2268","primary","TOS",NA,"A landing party is stranded while pursuing the pirate Auk-rex.","Sanctuary - TOS 61"
"2268","primary","TOS",NA,"Story","The Cloud Minders - Star Trek 6"
"2268","primary",NA,NA,"Story","Surprise! - The New Voyages 2"
"2268","primary",NA,NA,"Story","The Sleeping God - The New Voyages 2"
"2268","primary","TOS",NA,"Space-hippies hijaak the Enterprise.","The Way To Eden - Star Trek 5"
"2268","primary",NA,NA,"Story","The Face On The Barroom Floor - The New Voyages"
"2268","primary","TOS",NA,"While searching for ritallin to cure an outbreak of Rigellian fever aboard the Enterprise, Flint the Immortal is discovered in the Omega system.","Requiem For Methuselah - Star Trek 5"
"2268","secondary","SNW",NA,"Kirk visits the planet Kolya in search of a cure for the Vegan Choriomeningitis plague now wiping out Gideon's entire population.","The Shoulders Of Giants 1: Fiffick - SNW 5"
"2268","primary","TOS",NA,"On the planet Excaliba, a battle is arranged where replicas of Abraham Lincoln and Surak (along with Kirk and Spock) face off against Genghis Khan, Colonel Green, Kahless and Zora of Tiburon.","The Savage Curtain - Star Trek 6"
"2268","primary","TOS",NA,"Story","All Our Yesterdays - Star Trek 4"
"2268","primary",NA,NA,"Story","In The Maze - The New Voyages 2"
"2268","primary","TOS",NA,"Story","Turnabout Intruder - Star Trek 5"
"2268","primary","TOS",NA,"Gary Seven takes the Enterprise to a secret Romulan base under control of Commander Dellas of the Tal Shiar. They prevent her from murdering Spock in the future at the Khitomer Conference.","Assignment: Eternity - TOS 84"
"2268","alternate","TOS",NA,"Captain Spock and Ensign Kirk of the 5.S.S. ShiKahr, along with Romulan Commander Thea, travel back in time to 2097 to restore First History.","Killing Time - TOS 24"
"2268","primary","TOS",NA,"A visually unappealing race known as the Sackers cause a growing spacial rift, where another universe begins consuming our own with intense heat.","The Three-Minute Universe - TOS 41"
"2268","primary","TOS",NA,"The Enterprise carries a delegation of nominees to the Nobel and Z. Magnees ceremonies on Memory Prime.","Memory Prime - TOS 42"
"2268","primary","TOS",NA,"The Enterprise warp engines are engaged while within the gravity well of Talin 4, destroying the nacelles and much of the surface of the planet. Members of the crew spend four months in exile before being absolved of responsibility for the accident.","Prime Directive - Reference to Nobel and Z. Magnees ceremonies?"
"2268","secondary","TLE",NA,"The Neyel vessel Tuskerslayer re-discovers the interspatial rift that had brought the Oh-Neyel aboard Vangar Rock into M'jallanish space over a century earlier.","TLE: The Sundered Ch 24"
"2268","inferred","TOS",NA,"Enterprise recommissioned as Achernar class cruiser. Chekov temporarily transfers off the Enterprise. M'Ress and Arex sign aboard.",NA
"2268","primary",NA,NA,"Story","Beyond The Farthest Star - Star Trek Log 1"
"2268","primary",NA,NA,"Story","Yesteryear - Star Trek Log 1"
"2268","primary",NA,NA,"Story","One Of Our Planets Is Missing - Star Trek Log 1"
"2268","primary",NA,NA,"Christmas.","Survivor - Star Trek Log 2"
"2268","primary",NA,NA,"Story","The Lorelei Signal - Star Trek Log 2"
"2268","primary",NA,NA,"Story","The Infinite Vulcan - Star Trek Log 2"
"2269","primary",NA,NA,"Story","Once Upon A Planet - Star Trek Log 3"
"2269","primary",NA,NA,"Story","Mudd's Passion - Star Trek Log 3"
"2269","primary",NA,NA,"Story","The Magicks Of Megas-Tu - Star Trek Log 3"
"2269","primary",NA,NA,"Story","The Girl Who Controlled Gene Kelly's Feet - SNW 1"
"2269","primary",NA,NA,"Story","The Terratin Incident - Star Trek Log 4"
"2269","primary",NA,NA,"Story","Time Trap - Star Trek Log 4"
"2269","primary",NA,NA,"Story","More Tribbles, More Troubles - Star Trek Log 4"
"2269","primary",NA,NA,"Story","The Ambergris Element - Star Trek Log 5"
"2269","primary",NA,NA,"Story","The Pirates Of Orion - Star Trek Log 5"
"2269","primary",NA,NA,"Story","Jihad - Star Trek Log 5"
"2269","primary",NA,NA,"Story","Albatross - Star Trek Log 6"
"2269","primary",NA,NA,"Story","The Practical Joker - Star Trek Log 6"
"2269","primary",NA,NA,"Story","How Sharper Than A Serpent's Tooth - Star Trek Log 6"
"2269","primary",NA,"April makes the problematic claim to have taken command of the Enterprise 'four decades ago'.","Story","The Counter-Clock Incident - Star Trek Log 7"
"2269","primary",NA,NA,"Story","The Eye Of The Beholder - Star Trek Log 8"
"2269","primary",NA,NA,"Story","BEM - Star Trek Log 9"
"2269","primary",NA,NA,"Story","Slaver Weapon - Star Trek Log 10"
"2269","inferred","TOS",NA,"Story","Chekov returns to the Enterprise."
"2269","primary",NA,NA,"Book","Galactic Whirlpool"
"2269","inferred","TOS",NA,"M'Ress and Arex transfer off the Enterprise.",NA
"2269","primary","TOS",NA,"Kirk orders a quarantine of the Danon race.","Devil World"
"2269","primary","TOS",NA,"The Enterprise investigates the planet 'Anomaly'.","Planet Of Judgement"
"2269","primary","TOS",NA,"The Enterprise is abducted by the Organian Enowil.","Trek To Madworld"
"2269","primary","TOS",NA,"The Arachnae system is prevented from slipping into the Romulan Neutral Zone.","Vulcan!"
"2269","primary","TOS",NA,"The Dyson Sphere 'Lyra' is discovered.","The Starless World"
"2269","primary","TOS",NA,"Contact is established with an ancient Earth colony on Perry's Planet.","Perry's Planet"
"2269","primary",NA,NA,"Story","Intersection Point - The New Voyages"
"2269","primary",NA,NA,"Story (alternate timeline?)","Mind Sifter - The New Voyages"
"2269","primary","TOS",NA,"The crew is infected by spores that enhance ESP ability.","Death's Angel"
"2269","primary","TOS",NA,"The Enterprise discovers the Chatalia 'Generation' ship.","World Without End"
"2269","primary","TOS",NA,"Kirk is killed by the being Omne and resurrected in duplicate.","Price Of The Phoenix"
"2269","primary","TOS",NA,"Kirk is appointed Ambassador Plenipotentiary to an Interworld Affairs conference.","Fate Of The Phoenix"
"2269","primary","TOS",NA,"Story","The Procrustean Petard - The New Voyages 2"
"2269","primary","TOS",NA,"War breaks out between the Federation and Klingons, and the Enterprise attempts to contact Organia via long-range transport by using tachyon particles. The signal is reflected back, causing duplicate Spocks.","Spock Must Die!"
"2269","primary","TOS",NA,"Spock's mind is damaged by cephalic implants. He disables the Enterprise warp drive and beams down to the planet Kyros, where he becomes a revolutionary leader.","Spock, Messiah!"
"2269","primary","TOS","The events of Spock Must Die! include a massive six-month war with the Klingon Empire, as well as a judgement handed down by the Organians depriving the Klingons of spaceflight for a thousand years. Obviously, it is quite impossible to reconcile this with the rest of the Trek chronology. However, at the end of Mudd's Angels, the Enterprise is flung backward in time at least six months. Therefore, one must assume that the events of Spock Must Die! occur within that period, thus becoming a divergent timeline. Spock, Messiah! refers to events in Spock Must Die!, and therefore must also belong to the alternate timeline. To appease those who worship at the shrine of the Okudachron, you may even assume that all of the Bantam novels, as well as the Animated Series, are a part of this divergent reality as well; Also Prime Directive, which could never fit into established Trek history.","Harry Mudd causes a Federation-wide shortage of dilithium.","Business As Usual During Altercations - Mudd's Angels"
"2269","inferred","TOS",NA,"Following the death of her daughter, Janice Rand returns to the Enterprise. Eventually, she is promoted to Chief Petty Officer and is trained for transporter operations.","The Captain's Daughter - TOS 76"
"2269","primary","TOS",NA,"Following patrol of the Klingon Neutral Zone and a month shore leave on Starbase 4, the Enterprise discovers the planet Mercan after being transported through a gravitational anomaly.","The Abode Of Life - TOS 6"
"2269","primary","TOS",NA,"An accord is signed between the Federation, Romulans and Klingons.","The Trellisane Confrontation - TOS 14"
"2269","primary","TOS",NA,"Scientists in suspended animation are rescued from Black Box Nebula Station One.","Corona - TOS 15"
